,Nom,Type,Pop21,Pop16,Km2,accroissement_population,Population_Cat21,Population_Cat16
58,Sainte-Élizabeth-de-Warwick,MÉ,383.0,372.0,51.87,2.956989247311828,Moins de 1000,Moins de 1000
59,Tingwick,MÉ,1484.0,1410.0,169.48,5.24822695035461,1000 à 2499,1000 à 2499
60,Escuminac,MÉ,575.0,544.0,108.7,5.698529411764706,Moins de 1000,Moins de 1000
61,L'Ascension-de-Patapédia,MÉ,148.0,164.0,95.98,-9.75609756097561,Moins de 1000,Moins de 1000
62,Maria,MÉ,2760.0,2615.0,94.88,5.544933078393881,2500 à 4999,2500 à 4999
63,Matapédia,MÉ,566.0,645.0,71.59,-12.248062015503876,Moins de 1000,Moins de 1000
64,Nouvelle 3,MÉ,1782.0,1681.0,234.66,6.008328375966687,1000 à 2499,1000 à 2499
65,Pointe-à-la-Croix 3,MÉ,1344.0,1408.0,390.73,-4.545454545454546,1000 à 2499,1000 à 2499
66,Saint-Alexis-de-Matapédia,MÉ,519.0,500.0,84.91,3.8,Moins de 1000,Moins de 1000
67,Saint-André-de-Restigouche,MÉ,154.0,161.0,143.37,-4.3478260869565215,Moins de 1000,Moins de 1000
68,Saint-François-d'Assise,MÉ,679.0,644.0,179.34,5.434782608695652,Moins de 1000,Moins de 1000
69,Saint-Benoît-Labre,MÉ,1617.0,1630.0,85.65,-0.7975460122699386,1000 à 2499,1000 à 2499
70,Saint-Côme--Linière,MÉ,3278.0,3239.0,150.45,1.2040753318925594,2500 à 4999,2500 à 4999
71,Saint-Gédéon-de-Beauce,MÉ,2093.0,2205.0,197.37,-5.079365079365079,1000 à 2499,1000 à 2499
72,Saint-Honoré-de-Shenley 3,MÉ,1555.0,1517.0,133.96,2.5049439683586026,1000 à 2499,1000 à 2499
73,Saint-Philibert,MÉ,379.0,369.0,57.16,2.710027100271003,Moins de 1000,Moins de 1000
74,Saint-Simon-les-Mines,MÉ,573.0,549.0,47.43,4.371584699453552,Moins de 1000,Moins de 1000
75,Saint-Théophile,MÉ,702.0,713.0,427.78,-1.5427769985974755,Moins de 1000,Moins de 1000
76,Saint-Éphrem-de-Beauce,MÉ,2323.0,2400.0,118.9,-3.2083333333333335,1000 à 2499,1000 à 2499
77,Saint-Évariste-de-Forsyth 3,MÉ,511.0,545.0,110.85,-6.238532110091743,Moins de 1000,Moins de 1000
78,Saint-Stanislas-de-Kostka,MÉ,1852.0,1654.0,57.69,11.970979443772672,1000 à 2499,1000 à 2499
79,Saint-Urbain-Premier,MÉ,1332.0,1264.0,53.28,5.379746835443038,1000 à 2499,1000 à 2499
80,Saint-Étienne-de-Beauharnois,MÉ,1099.0,831.0,40.63,32.250300842358605,1000 à 2499,1000 à 2499
81,Sainte-Martine,MÉ,5664.0,5461.0,63.06,3.7172678996520783,5000 à 9999,5000 à 9999
82,Armagh,MÉ,1439.0,1488.0,167.99,-3.293010752688172,1000 à 2499,1000 à 2499
83,Beaumont,MÉ,2968.0,2942.0,44.57,0.8837525492861998,2500 à 4999,2500 à 4999
84,Honfleur,MÉ,881.0,849.0,50.67,3.7691401648998824,Moins de 1000,Moins de 1000
85,Saint-Anselme,MÉ,4047.0,3938.0,74.22,2.76790248857288,2500 à 4999,2500 à 4999
86,Saint-Charles-de-Bellechasse,MÉ,2583.0,2396.0,93.3,7.804674457429049,2500 à 4999,2500 à 4999
87,Saint-Gervais,MÉ,2138.0,2153.0,89.33,-0.6967022758941013,1000 à 2499,1000 à 2499
88,Saint-Henri,MÉ,5813.0,5611.0,122.61,3.600071288540367,5000 à 9999,5000 à 9999
89,Saint-Lazare-de-Bellechasse,MÉ,1332.0,1288.0,85.93,3.4161490683229814,1000 à 2499,1000 à 2499
90,Saint-Michel-de-Bellechasse,MÉ,1871.0,1813.0,43.08,3.1991174848317705,1000 à 2499,1000 à 2499
91,Saint-Nérée-de-Bellechasse,MÉ,744.0,742.0,75.76,0.2695417789757412,Moins de 1000,Moins de 1000
92,Saint-Raphaël,MÉ,2458.0,2390.0,121.69,2.8451882845188283,1000 à 2499,1000 à 2499
93,Saint-Vallier,MÉ,1031.0,1061.0,44.88,-2.827521206409048,1000 à 2499,1000 à 2499
94,Sainte-Claire,MÉ,3526.0,3362.0,88.14,4.878048780487805,2500 à 4999,2500 à 4999
95,Caplan,MÉ,1966.0,2024.0,85.69,-2.8656126482213438,1000 à 2499,1000 à 2499
96,Cascapédia--Saint-Jules,MÉ,764.0,730.0,164.29,4.657534246575342,Moins de 1000,Moins de 1000
97,Hope Town,MÉ,334.0,339.0,51.26,-1.4749262536873156,Moins de 1000,Moins de 1000
98,New Carlisle,MÉ,1336.0,1388.0,67.99,-3.7463976945244957,1000 à 2499,1000 à 2499
99,Saint-Alphonse,MÉ,711.0,699.0,112.09,1.7167381974248928,Moins de 1000,Moins de 1000
100,Saint-Elzéar,MÉ,464.0,458.0,204.16,1.3100436681222707,Moins de 1000,Moins de 1000
101,Shigawake,MÉ,333.0,292.0,76.82,14.04109589041096,Moins de 1000,Moins de 1000
102,Bolton-Ouest,MÉ,732.0,630.0,100.94,16.19047619047619,Moins de 1000,Moins de 1000
103,Brigham,MÉ,2282.0,2306.0,86.92,-1.0407632263660018,1000 à 2499,1000 à 2499
104,East Farnham,MÉ,612.0,554.0,5.02,10.469314079422382,Moins de 1000,Moins de 1000
105,Frelighsburg,MÉ,1123.0,1111.0,123.31,1.08010801080108,1000 à 2499,1000 à 2499
106,Notre-Dame-de-Stanbridge,MÉ,691.0,668.0,43.89,3.44311377245509,Moins de 1000,Moins de 1000
107,Pike River,MÉ,503.0,517.0,40.77,-2.7079303675048356,Moins de 1000,Moins de 1000
108,Saint-Armand,MÉ,1228.0,1205.0,83.16,1.9087136929460582,1000 à 2499,1000 à 2499
109,Saint-Ignace-de-Stanbridge,MÉ,677.0,676.0,69.42,0.14792899408284024,Moins de 1000,Moins de 1000
110,Sainte-Sabine,MÉ,1105.0,1085.0,55.33,1.8433179723502304,1000 à 2499,1000 à 2499
111,Stanbridge East,MÉ,834.0,866.0,49.41,-3.695150115473441,Moins de 1000,Moins de 1000
112,Stanbridge Station,MÉ,291.0,274.0,18.07,6.204379562043796,Moins de 1000,Moins de 1000
113,Deschaillons-sur-Saint-Laurent,MÉ,906.0,909.0,36.51,-0.33003300330033003,Moins de 1000,Moins de 1000
114,Fortierville,MÉ,660.0,669.0,44.55,-1.345291479820628,Moins de 1000,Moins de 1000
115,Lemieux,MÉ,292.0,301.0,74.6,-2.990033222591362,Moins de 1000,Moins de 1000
116,Manseau,MÉ,807.0,816.0,104.48,-1.1029411764705883,Moins de 1000,Moins de 1000
117,Saint-Pierre-les-Becquets,MÉ,1183.0,1137.0,48.14,4.0457343887423045,1000 à 2499,1000 à 2499
118,Saint-Sylvère,MÉ,786.0,791.0,86.3,-0.6321112515802781,Moins de 1000,Moins de 1000
119,Sainte-Françoise,MÉ,467.0,449.0,87.02,4.008908685968819,Moins de 1000,Moins de 1000
120,Sainte-Marie-de-Blandford,MÉ,443.0,468.0,69.3,-5.3418803418803416,Moins de 1000,Moins de 1000
121,L'Isle-aux-Coudres,MÉ,1116.0,1143.0,29.46,-2.3622047244094486,1000 à 2499,1000 à 2499
122,Les Éboulements,MÉ,1465.0,1331.0,156.19,10.067618332081143,1000 à 2499,1000 à 2499
123,Petite-Rivière-Saint-François,MÉ,953.0,814.0,133.89,17.076167076167078,Moins de 1000,Moins de 1000
124,Baie-Sainte-Catherine,MÉ,184.0,206.0,232.89,-10.679611650485437,Moins de 1000,Moins de 1000
125,Notre-Dame-des-Monts,MÉ,789.0,791.0,57.93,-0.2528445006321112,Moins de 1000,Moins de 1000
126,Saint-Aimé-des-Lacs,MÉ,1158.0,1095.0,91.61,5.7534246575342465,1000 à 2499,1000 à 2499
127,Saint-Siméon,MÉ,1139.0,1227.0,281.14,-7.171964140179299,1000 à 2499,1000 à 2499
128,Barnston-Ouest 3,MÉ,546.0,559.0,99.36,-2.3255813953488373,Moins de 1000,Moins de 1000
129,Compton,MÉ,3270.0,3131.0,206.58,4.439476205685085,2500 à 4999,2500 à 4999
